,capacity20-speed3,capacity25-speed3,capacity33-speed3,capacity200-speed3,capacity20-speed4,capacity25-speed4,capacity33-speed4,capacity200-speed4,capacity20-speed5,capacity25-speed5,capacity33-speed5,capacity200-speed5,capacity20-speed6,capacity25-speed6,capacity33-speed6,capacity200-speed6
0,4035,3476,2143,1739,3353,4218,3790,3604,2800,1677,3486,3372,2266,3412,2744,3042
1,3989,3827,2905,2039,3418,1684,3083,835,3705,3349,2930,3643,1307,1066,930,642
2,2819,3300,1662,2397,2203,2937,2611,642,1948,966,828,467,2063,715,301,281
3,3282,3375,3125,2389,3375,3322,1436,2734,2966,3029,2881,2524,969,3302,244,2924
4,3701,3634,2071,2712,3710,2069,3396,2784,1106,1134,926,406,2938,956,2325,2354
5,3538,3265,2951,2934,3130,1616,1016,712,3703,3350,1067,3035,3217,1693,1127,261
6,3561,2691,2773,1394,2387,3527,1835,644,1448,1174,2833,2777,2179,821,625,3243
7,3311,3182,1602,2333,3308,3446,1488,3597,2999,3275,3627,547,1073,3489,298,481
8,2869,2525,3212,2757,3473,2197,3377,3192,3576,3167,3508,3204,1001,1038,2674,2687
9,2792,3465,2923,3101,3059,1571,3180,618,3540,3749,2737,3046,2923,2682,2724,2800
10,3416,2656,2422,1083,3635,3474,2992,3332,1369,3313,3291,2658,3257,2980,2838,2800
11,2649,2788,2068,1278,3229,1558,979,868,2268,1128,2552,787,2932,3470,2902,3213
12,3794,3031,3533,2722,3509,3572,3245,1148,3227,3120,1012,3143,3222,3191,522,2770
13,3400,2538,2948,2272,3354,3692,2738,3307,1750,1111,1057,634,3133,1228,2612,521
14,4081,3708,3805,2805,4407,3866,2784,2950,3656,3174,2041,662,3187,3587,799,2412
